# jours_écoulés 	 nombreTotalContaminésGrippe 	 nombreTotalContaminésAgentPathogène()
0	0	19972	0.125193	0.125225
1	0	20155	0.06959	0.196463
2	0	21576	0.0380919	0.234806
3	0	23182	0.0871071	0.322248
4	0	24868	0.0808945	0.403382
5	0	26638	0.026024	0.429824
6	0	28530	0.0386502	0.468749
7	0	30569	0.0391464	0.508564
8	0	32528	0.0470609	0.555909
9	0	34747	0.056094	0.612255
10	0	36895	0.0398089	0.652754
11	0	39121	0.036569	0.689742
12	0	41330	0.040404	0.730456
13	0	43659	0.0379694	0.768839
14	0	46065	0.0366729	0.806342
15	0	48465	0.0451824	0.85178
16	0	50849	0.0345112	0.886628
17	0	53253	0.0392311	0.926282
18	0	55667	0.0367457	0.964502
19	0	58009	0.0416848	1.0065
20	0	60349	0.0410066	1.04777
21	0	62526	0.0347628	1.08283
22	0	64560	0.0398306	1.12308
23	0	66426	0.0409988	1.16433
24	0	68075	0.0363574	1.2011
25	0	69514	0.0419893	1.24356
26	0	70823	0.0398314	1.28369
27	0	71693	0.038629	1.32267
28	0	72354	0.038902	1.36185
29	0	72739	0.0348459	1.39735
30	0	72930	0.0342513	1.43189
31	0	72906	0.0392138	1.47169
32	0	72774	0.037376	1.5094
33	0	72444	0.0699157	1.57981
34	0	72061	0.0397842	1.61991
35	0	71516	0.0343197	1.65466
36	0	71084	0.0398331	1.69485
37	0	70545	0.0363905	1.73187
38	0	69946	0.0340277	1.76642
39	0	69448	0.0380309	1.80504
40	0	69024	0.0389322	1.8443
41	0	68551	0.0342051	1.87892
42	0	68162	0.0344156	1.91507
43	0	67674	0.0394741	1.95483
44	0	67307	0.0392132	1.9943
45	0	66916	0.0354144	2.0303
46	0	66570	0.0342441	2.06511
47	0	66226	0.0701002	2.1355
48	0	65940	0.0332473	2.16905
49	0	65614	0.0400068	2.2096
50	0	65352	0.0364028	2.24736
51	0	65067	0.0357464	2.28352
52	0	64856	0.0381206	2.32202
53	0	64693	0.0392533	2.36154
54	0	64566	0.0360653	2.39823
55	0	64466	0.0324372	2.43097
56	0	64369	0.0418227	2.47307
57	0	64357	0.0404161	2.51375
58	0	64346	0.0357871	2.54993
59	0	64451	0.0330517	2.58324
60	0	64560	0.0393686	2.62292
61	0	64657	0.0387335	2.6619
62	0	64726	0.0365307	2.69912
63	0	64781	0.0338373	2.7332
64	0	64987	0.03845	2.77197
65	0	65170	0.0391331	2.81147
66	0	65340	0.0358692	2.84834
67	0	65519	0.0392632	2.88795
68	0	65649	0.0397529	2.92798
69	0	65837	0.0375482	2.96622
70	0	65952	0.0344367	3.0009
71	0	66101	0.0383949	3.03985
72	14	66156	0.039276	3.07941
73	25	66311	0.0345648	3.11428
74	28	66441	0.0329384	3.14756
75	44	66512	0.0405425	3.1884
76	60	66520	0.0384438	3.2271
77	77	66652	0.0372708	3.26505
78	118	66681	0.0339844	3.29939
79	142	66733	0.038299	3.33821
80	204	66781	0.039286	3.37782
81	265	66681	0.0349734	3.41313
82	340	66905	0.0361683	3.44987
83	447	66987	0.0420305	3.4922
84	562	66987	0.0380956	3.53195
85	732	66951	0.0367559	3.56895
86	905	66897	0.0386137	3.6083
87	1131	66855	0.0401817	3.64876
88	1374	66848	0.0377113	3.68686
89	1655	66792	0.0381252	3.72537
90	1952	66875	0.0359647	3.76268
91	2288	66870	0.0375181	3.80058
92	2698	66802	0.0658833	3.8668
93	3161	66726	0.0328489	3.89996
94	3556	66646	0.0382754	3.93855
95	4021	66568	0.0387001	3.97756
96	4443	66528	0.0372321	4.01558
